Playing Time,,,,Performance,,,,,,,,Expected,,,,Progression,,,Per 90 Minutes,,,,,,,,,,,,,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG-90,npxG-90,xAG-90,npxG+xAG-90,PrgC-90,PrgP-90,PrgR-90,Gls-90,Ast-90,G+A-90,G-PK-90,G+A-PK-90,xG-90,xAG-90,xG+xAG-90,npxG-90,npxG+xAG-90,Matches
26,Stine Ballisager Pedersen,dk DEN,DF,Current,30,1994,18,11,"1,067",11.9,1,0,1,1,0,0,0,0,0.8,0.8,0.1,0.9,5,41,3,0.08,0,0.08,0.08,0.08,0.07,0.01,0.08,0.07,0.08,Matches
27,Barbra Banda,zm ZAM,FW,Pride,23,2000,22,20,"1,741",19.3,13,6,19,13,0,0,0,0,13.9,13.9,4.6,18.5,111,23,143,0.67,0.31,0.98,0.67,0.98,0.72,0.24,0.96,0.72,0.96,Matches
28,Melanie Barcenas,us USA,"FW,MF",Wave,16,2007,10,5,447,5,1,0,1,1,0,0,0,0,0.9,0.9,0.2,1.1,13,18,34,0.2,0,0.2,0.2,0.2,0.19,0.04,0.22,0.19,0.22,Matches
29,Lauren Barnes,us USA,DF,Reign,34,1989,21,17,"1,497",16.6,0,0,0,0,0,0,1,0,0,0,0.7,0.7,8,55,1,0,0,0,0,0,0,0.04,0.04,0,0.04,Matches
30,Ángela Barón,co COL,DF,Louisville,20,2003,1,0,13,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
31,Hillary Beall,us USA,GK,Wave,25,1999,2,1,118,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
32,Beatriz,br BRA,FW,Current,30,1993,16,11,866,9.6,5,4,9,5,0,0,0,0,2.3,2.3,4.2,6.6,27,52,68,0.52,0.42,0.94,0.52,0.94,0.24,0.44,0.68,0.24,0.68,Matches
33,Jennifer Beattie,sct SCO,DF,Bay FC,32,1991,8,6,409,4.5,0,0,0,0,0,0,1,0,0,0,0,0.1,1,15,0,0,0,0,0,0,0,0.01,0.01,0,0.01,Matches
34,Maycee Bell,us USA,DF,Courage,23,2000,2,0,10,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,Matches
35,Maycee Bell,us USA,DF,Gotham FC,23,2000,8,3,292,3.2,1,0,1,1,0,0,0,0,0.1,0.1,0,0.1,1,9,8,0.31,0,0.31,0.31,0.31,0.03,0,0.03,0.03,0.03,Matches
36,Elyse Bennett,us USA,"FW,MF",Wave,24,1999,14,2,272,3,0,1,1,0,0,0,2,0,1,1,0.7,1.7,4,3,30,0,0.33,0.33,0,0.33,0.32,0.23,0.55,0.32,0.55,Matches
37,Ann-Katrin Berger,de GER,GK,Gotham FC,33,1990,22,22,"1,980",22,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,Matches
38,Malia Berkely,us USA,DF,Courage,25,1998,25,25,"2,208",24.5,1,3,4,0,1,3,0,0,2,0.2,1.5,1.8,9,92,7,0.04,0.12,0.16,0,0.12,0.08,0.06,0.14,0.01,0.07,Matches
39,Hannah Betfort,us USA,FW,Royals,25,1999,24,18,"1,671",18.6,2,0,2,2,0,0,2,0,6.9,6.9,1.1,8,14,13,76,0.11,0,0.11,0.11,0.11,0.37,0.06,0.43,0.37,0.43,Matches
40,Croix Bethune,us USA,"MF,FW",Spirit,22,2001,17,16,"1,381",15.3,5,10,15,5,0,0,1,0,4.9,4.9,5.9,10.8,28,65,64,0.33,0.65,0.98,0.33,0.98,0.32,0.38,0.7,0.32,0.7,Matches
41,Camryn Biegalski,us USA,DF,Red Stars,25,1998,7,3,377,4.2,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,3,11,7,0,0,0,0,0,0.03,0,0.03,0.03,0.03,Matches
42,Jenna Bike,us USA,"FW,MF",Red Stars,25,1998,23,15,"1,329",14.8,1,2,3,1,0,0,4,0,2,2,0.6,2.5,25,15,61,0.07,0.14,0.2,0.07,0.2,0.13,0.04,0.17,0.13,0.17,Matches
43,Lynn Biyendolo,us USA,"FW,MF",Gotham FC,30,1993,16,10,919,10.2,4,2,6,3,1,1,1,0,5,4.3,2.1,6.3,32,28,109,0.39,0.2,0.59,0.29,0.49,0.49,0.2,0.69,0.42,0.62,Matches
44,Tess Boade,us USA,"MF,FW",Bay FC,24,1999,25,23,"2,044",22.7,3,2,5,3,0,0,2,0,5.4,5.4,3,8.4,40,94,123,0.13,0.09,0.22,0.13,0.22,0.24,0.13,0.37,0.24,0.37,Matches
45,Lyza Bosselmann,,GK,Spirit,,,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
46,Jordan Brewster,us USA,DF,Bay FC,24,1999,1,0,10,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
47,Isabella Briede,us USA,"MF,FW",Dash,25,1998,17,2,371,4.1,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.3,4,10,22,0,0,0,0,0,0.04,0.04,0.08,0.04,0.08,Matches
48,Messiah Bright,us USA,"FW,MF",Angel City,24,2000,21,7,687,7.6,1,0,1,1,0,0,2,0,2.8,2.8,0.5,3.3,14,25,43,0.13,0,0.13,0.13,0.13,0.37,0.07,0.44,0.37,0.44,Matches
49,Courtney Brown,us USA,"FW,MF",Spirit,23,2000,24,10,947,10.5,1,0,1,1,0,0,0,0,2.2,2.2,0.8,3,13,20,42,0.1,0,0.1,0.1,0.1,0.21,0.08,0.29,0.21,0.29,Matches
50,Ryanne Brown,us USA,DF,Reign,25,1999,9,3,277,3.1,0,0,0,0,0,0,1,0,0.4,0.4,0.4,0.8,9,6,13,0,0,0,0,0,0.12,0.14,0.26,0.12,0.26,Matches
51,Bruninha,br BRA,DF,Gotham FC,21,2002,20,8,866,9.6,0,2,2,0,0,0,3,0,0.4,0.4,1.2,1.6,8,42,33,0,0.21,0.21,0,0.21,0.04,0.13,0.17,0.04,0.17,Matches
52,Jordyn Bugg,us USA,DF,Reign,17,2006,6,5,495,5.5,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,3,13,1,0,0,0,0,0,0.02,0.01,0.02,0.02,0.02,Matches
53,Zoe Burns,ca CAN,"DF,MF",Royals,22,2002,21,14,"1,320",14.7,0,0,0,0,0,0,1,0,0.1,0.1,1,1.1,18,56,35,0,0,0,0,0,0.01,0.07,0.07,0.01,0.07,Matches
54,Anaïg Butel,fr FRA,DF,Spirit,31,1992,24,21,"1,905",21.2,0,0,0,0,0,0,3,0,0,0,0.1,0.2,4,65,2,0,0,0,0,0,0,0.01,0.01,0,0.01,Matches
55,Jenna Butler,,MF,Spirit,,,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
56,Scarlett Camberos,mx MEX,FW,Bay FC,23,2000,10,8,694,7.7,1,0,1,1,0,0,2,0,0.5,0.5,0.5,0.9,33,20,47,0.13,0,0.13,0.13,0.13,0.06,0.06,0.12,0.06,0.12,Matches
57,Jane Campbell,us USA,GK,Dash,28,1995,25,25,"2,250",25,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,Matches
58,Gabrielle Carle,ca CAN,DF,Spirit,25,1998,26,23,"2,021",22.5,0,2,2,0,0,0,2,0,0.5,0.5,2.8,3.3,49,109,64,0,0.09,0.09,0,0.09,0.02,0.13,0.15,0.02,0.15,Matches
59,Jess Carter,eng ENG,DF,Gotham FC,26,1997,10,10,849,9.4,0,0,0,0,0,0,1,0,0,0,0.4,0.5,4,57,34,0,0,0,0,0,0,0.05,0.05,0,0.05,Matches
60,Kyra Carusa,ie IRL,"FW,MF",Wave,28,1995,17,7,633,7,2,0,2,2,0,0,1,0,2.1,2.1,0.4,2.6,10,12,62,0.28,0,0.28,0.28,0.28,0.3,0.06,0.36,0.3,0.36,Matches
61,Delphine Cascarino,fr FRA,FW,Wave,26,1997,10,7,638,7.1,2,3,5,2,0,0,0,0,1.4,1.4,1.9,3.3,30,24,69,0.28,0.42,0.71,0.28,0.71,0.2,0.26,0.46,0.2,0.46,Matches
62,Deyna Castellanos,ve VEN,"MF,FW",Bay FC,24,1999,20,12,"1,059",11.8,2,1,3,2,0,0,1,0,2.3,2.3,1.5,3.8,13,44,37,0.17,0.08,0.25,0.17,0.25,0.2,0.12,0.32,0.2,0.32,Matches
63,Allysha Chapman,ca CAN,DF,Dash,35,1989,8,6,542,6,0,0,0,0,0,0,2,0,0.1,0.1,0.2,0.2,5,17,5,0,0,0,0,0,0.01,0.03,0.04,0.01,0.04,Matches
64,Temwa Cha?inga,mw MWI,FW,Current,25,1998,25,24,"2,142",23.8,20,5,25,20,0,0,1,0,18.1,18.1,5.1,23.2,98,36,192,0.84,0.21,1.05,0.84,1.05,0.76,0.21,0.98,0.76,0.98,Matches
65,Milly Clegg,nz NZL,FW,Louisville,18,2005,1,0,19,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Matches
66,Mikayla Cluff,us USA,MF,Royals,24,1999,11,5,481,5.3,0,0,0,0,0,0,2,0,0.5,0.5,0.1,0.5,3,16,8,0,0,0,0,0,0.08,0.01,0.1,0.08,0.1,Matches
67,Sam Coffey,us USA,MF,Thorns,25,1998,24,23,"1,991",22.1,2,3,5,2,0,0,0,0,0.7,0.7,2.3,2.9,18,139,28,0.09,0.14,0.23,0.09,0.23,0.03,0.1,0.13,0.03,0.13,Matches
68,Danielle Colaprico,us USA,MF,Wave,30,1993,23,18,"1,555",17.3,0,0,0,0,0,0,3,0,0.7,0.7,0.7,1.5,4,78,13,0,0,0,0,0,0.04,0.04,0.09,0.04,0.09,Matches
69,Caroline Conti,us USA,"MF,FW",Bay FC,22,2001,8,1,98,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,Matches
70,Alana Cook,us USA,DF,Reign,26,1997,11,9,844,9.4,0,0,0,0,0,0,1,0,0.4,0.4,0.8,1.2,6,36,1,0,0,0,0,0,0.04,0.09,0.13,0.04,0.13,Matches
71,Alana Cook,us USA,DF,Current,26,1997,10,10,855,9.5,0,0,0,0,0,0,1,0,0.4,0.4,0.3,0.7,0,23,0,0,0,0,0,0,0.04,0.03,0.07,0.04,0.07,Matches
72,Ally Cook,,FW,Red Stars,,,14,1,217,2.4,0,1,1,0,0,0,0,0,0.3,0.3,0.6,0.9,2,6,23,0,0.41,0.41,0,0.41,0.14,0.25,0.39,0.14,0.39,Matches
73,Ava Cook,us USA,FW,Red Stars,23,2000,3,0,97,1.1,1,0,1,1,0,0,1,0,0.4,0.4,0,0.4,1,1,2,0.93,0,0.93,0.93,0.93,0.39,0,0.39,0.39,0.39,Matches
74,Michelle Cooper,us USA,"FW,MF",Current,21,2002,21,15,"1,344",14.9,3,2,5,3,0,0,2,0,3.5,3.5,3.2,6.7,50,43,109,0.2,0.13,0.33,0.2,0.33,0.23,0.21,0.45,0.23,0.45,Matches
75,Ana-Maria Crnogor?evi?,ch SUI,"FW,MF",Reign,33,1990,10,8,716,8,0,1,1,0,0,0,0,0,0.6,0.6,1.7,2.3,17,15,46,0,0.13,0.13,0,0.13,0.08,0.22,0.3,0.08,0.3,Matches
76,Chardonnay Curran,us USA,"FW,DF",Red Stars,24,1999,11,0,241,2.7,0,0,0,0,0,0,1,0,1,1,0.1,1.2,2,6,11,0,0,0,0,0,0.39,0.04,0.43,0.39,0.43,Matches
77,Madison Curry,us USA,DF,Angel City,23,2001,22,20,"1,591",17.7,1,1,2,1,0,0,5,0,1.1,1.1,0.6,1.8,25,78,20,0.06,0.06,0.11,0.06,0.11,0.06,0.04,0.1,0.06,0.1,Matches
78,Izzy D'Aquila,us USA,"FW,MF",Thorns,22,2001,14,4,454,5,2,0,2,2,0,0,0,0,2.7,2.7,0.2,2.9,10,10,48,0.4,0,0.4,0.4,0.4,0.54,0.03,0.57,0.54,0.57,Matches
79,Abby Dahlkemper,us USA,DF,Bay FC,30,1993,9,9,810,9,2,0,2,2,0,0,0,0,1.4,1.4,0.2,1.5,0,30,0,0.22,0,0.22,0.22,0.22,0.15,0.02,0.17,0.15,0.17,Matches
